directional indicator	方向指示子	とりあえず
accessibility adjustment	アクセシビリティ調整	とりあえず
trait	特質	とりあえず。トレイト：振る舞いを実装するメソッド群
projection transformation	射影変換	投影変換
transaction mutation function	トランザクション変異関数	とりあえず。ミューテーション
old-style figure	オールドスタイルフィギュア	lining figure ライニングフィギュア
color stop	色経由	開始点 (Starting point)、 終了点 (Ending point) と、省略可能な色経由点 (color-stop point)
fill	いっぱいに満たす	fit 収める。「Scale to Fillはアスペクト比を無視して、Bounds(指定した範囲内)に収めようとします。この場合は横にのびちゃってますね〜。Aspect Fit はアスペクト比を保ったまま, Bounds内に全て収めようとします。ただし、スペースが空きます。Aspect Fill はスペースを空けないでBounds内に収めます。ただし、Boundsのサイズを無視するので、StoryboardでClip to Boundsにチェックを入れる必要があります。」
back arrow	後矢印	support.apple.com › ja-jp › guide › icloud › icloud 写真やビデオ間を移動する：Webページの横にある前矢印や後矢印をクリックするか、右矢印または左矢印キーを押します。
fit	収める	fill いっぱいに満たす。「Scale to Fillはアスペクト比を無視して、Bounds(指定した範囲内)に収めようとします。この場合は横にのびちゃってますね〜。Aspect Fit はアスペクト比を保ったまま, Bounds内に全て収めようとします。ただし、スペースが空きます。Aspect Fill はスペースを空けないでBounds内に収めます。ただし、Boundsのサイズを無視するので、StoryboardでClip to Boundsにチェックを入れる必要があります。」
transient state	過渡状態	とりあえず。短期的状態
transient UI state	過渡UI状態	とりあえず。短期的UI状態
content offset	コンテンツオフセット	コンテンツビューの原点がスクロールビューの原点からオフセットされるポイント。類似：コンテンツインセット、コンテンツビューが囲んでいるスクロールビューから挿入される間隔。
updating gesture	更新ジェスチャ	とりあえず
frame of reference	基準系	基準系、基準座標系、または参照系、reference frame
source of truth	信頼できる情報源
vector magnitude	ベクトル振幅	ベクターマグニチュード
tracking	トラッキング	「カーニング」文字と文字との間を調整します。文字の右側だけが狭くなるのがポイントで、ひとつずつ細かな調整が可能です。「トラッキング」選択したテキスト全体の文字間隔を調整します。カーニングとは違い、一括で処理できます。「文字詰め」文字の前後を詰めたい時に使います。縮めたい間隔分、パーセントで指定するとこちらも一括で処理できます。
linearly-interpolated	線形補間された	Linear interpolation 線形補間
project	投影	データベース用語の射影（または投影）のようなもの？特定の列データを取り出す。
trait	特徴	「characteristics」は人・物・事に典型的な特徴。 「property」は材料などがもともと持っている特徴。 「quality」は本質的な・重要な特徴。 「attribute」は人・物の内在的な特徴。 「feature」は視覚的に目立つ特徴。 「trait」は人間の個人的な特徴。 「aspect」は表面的な特徴。
dimension	次元	寸法としていた。
dispatch	ディスパッチ	ディスパッチ：待機状態のタスクやスレッドに計算時間を割り当て、処理を実行させること。プリエンプション（preemption）：逆に実行状態のプロセスを一旦停止して待機状態に戻すこと。ITで主として複数の同種のものの１つを選択、データの送信、資源の割り当て、機能の呼び出しなどを表す。
export	エクスポート	移出。他で利用できるデータ形式にして出力する。インポート（移入？）：データを利用可能形式にして取り込む。
import	インポート	インポート（移入？）：データを利用可能形式にして取り込む。export 移出：他で利用できるデータ形式にして出力する。
leading	リーディング	行と行の間隔を調整する。
line spacing	行間
kerning		カーニング	隣り合う文字の間を調節する。
reference file	参照ファイル	ダブルクリックすると指定のアプリケーションで参照先のファシルを開く書類？。
tint color	明清色	色彩学では、ティントは純色に白を混ぜた色群。カラー電子写真などの分野では、ライトトーン（ ティントカラー ・明清色）：ビビットトーンの画素率を低下させたもの。ソフトトーン：ライトトーンにわずかに墨入れをしたもの。
gray component	グレイコンポーネント	Grey component replacement（英Wikipedia）カラー印刷で使用されるCMY色空間内で、3つの原色を組み合わせることでさまざまな色を実現できます。この組み合わせは、色相成分（最大2つの原色が必要）と灰色成分（必要な彩度を与えるために適切な量の3つすべての混合物）と考えることができます。灰色のコンポーネントを黒のインクに置き換えると、2つの原色と黒を使用して同じ色が実現されます。灰色のコンポーネントの代わりに黒を使用することは、灰色のコンポーネントの交換（GCR）と呼ばれます。GCRでは、アンダーカラー除去（UCR）とは異なり、トーンスケール全体でグレーに追加されるCMY値を黒インクに置き換えることができます。UCRは、灰色またはほぼ灰色として印刷されたものと同等のCMYに黒を追加するだけです。
unbounded range	無境界範囲	Swift Standard Libraryで「unbounded range operator 無境界範囲演算子（...）」としていた。無限範囲？
